Play Count,Track,Artist,Album,Spotify URI
15,The Spins,Mac Miller,K.I.D.S.,spotify:track:51pshtuYkgUQnt5huMPbKL
15,Before The Day Is Over,Joji,SMITHEREENS,spotify:track:7zBscbZUCr4jEABrfV9g03
15,Do What I Want,Kid Cudi,Entergalactic,spotify:track:5OIz27S6SQOJtweneBd6QP
15,A+ (feat. Denzel Curry),Kenny Mason,Angelic Hoodrat: Supercut,spotify:track:6hDvPTT67OgU5bAgAEMcOb
14,IF YOU PRAY RIGHT,BROCKHAMPTON,GINGER,spotify:track:56IGGA6VwAbIni6KoN7VC5
14,MUSTBE,Church & AP,MUSTBE,spotify:track:1J3gukOTzdQuVCavqwnfCO
14,Door,C418,Minecraft - Volume Alpha,spotify:track:6PR3ZUCnxtQTEu30qgZLwT
14,Subwoofer Lullaby,C418,Minecraft - Volume Alpha,spotify:track:1OJxI8lIWRqBvouJxW1nzN
14,Équinoxe,C418,Minecraft - Volume Alpha,spotify:track:37WtwAa4PzRprHMp7Esdds
14,Extra Clip (feat. NLE Choppa),GoldLink,HARAM!,spotify:track:68UbXO78GbjOglBCfDuSwy
14,Worship the Endless,Arnaud Roy,Endless Space 2: Definitive Edition (Original Game Soundtrack),spotify:track:6uQdXzwUoopeda1HGjTOA4
14,Shake It,Metro Station,Metro Station,spotify:track:5619Ojc6t9evEEs3B7Drhe
14,Heaven Knows I'm Miserable Now - 2011 Remaster,The Smiths,Louder Than Bombs,spotify:track:1H5N26VqHR4JhuaRKY2I0u
14,hooligan,Baby Keem,The Melodic Blue,spotify:track:3diZz7nVRbyuvAXSW7hzI7
13,Smile (with The Weeknd),Juice WRLD,Legends Never Die,spotify:track:6wQlQrTY5mVS8EGaFZVwVF
13,Rapapapa (feat. RZA),Rich Brian,The Sailor,spotify:track:7sPoDigIbCWDS6AZmOhSRR
13,Perfect,Logic,No Pressure,spotify:track:5jbDih9bLGmI8ycUKkN5XA
13,Sunday (feat. Frank Ocean),Earl Sweatshirt,Doris,spotify:track:0fAehaneUJdlSlWXYe1KZp
13,Soaked,BENEE,FIRE ON MARZZ,spotify:track:4zIiarkbaDt2cm6sukb1Xt
13,1999 WILDFIRE,BROCKHAMPTON,1999 WILDFIRE,spotify:track:1t4pPnbkOjzoA5RvsDjvUU
13,TOKYO,BROCKHAMPTON,SATURATION II,spotify:track:1CKhx6sSkUxzomXnYZqSMh
